=== CONTROL_TICK ===
scan_date|ticker|dist_sec|minutes_since_open|gap_pct|prev_close|rel_volume|today_volume|adv|market_cap|float_shares|ep_score|filter_reason
2026-07-30|SFM|840.055644|15|11.17|79.16|0.03||2222564.460806||||outside top-20 gap cap (gap 11.2%)
2026-07-30|SIMO|0.019485|1|20.66|209.68|0.03||867126.6098420001||||already scored earlier today
2026-07-30|STGW|0.019485|1|11.14|8.08|0.03||1413320.851911||||outside top-20 gap cap (gap 11.1%)
2026-07-30|TAL|0.019485|1|14.97|10.89|0.23||3350120.9678140003|||15|score 15 < 50 (catalyst=routine)
2026-07-31|AAOI|0.023691|1|10.17|90.11|0.06||10323032.2450805||||outside top-20 gap cap (gap 10.2%)
2026-07-31|AMZN|0.023691|1|11.64|235.5|0.11||47881737.564496994|||15|score 15 < 50 (catalyst=routine)
2026-07-31|BLZE|1140.050391|20|13.62|12.63|0.1||2922280.244612||||filter:session_rvol_too_low: session_rvol=0.95x (today 279,352 / baseline 293,426 n=22) < 1.0x
2026-07-31|COHR|840.049846|15|11.22|249.06|0.04||5331519.679161||||filter:session_rvol_too_low: session_rvol=0.45x (today 195,666 / baseline 430,909 n=22) < 1.0x
2026-07-31|COHU|0.023691|1|22.08|46.45|0.06||1276945.6399405||||already scored earlier today
2026-07-31|CSTL|1140.050391|20|12.43|26.79|0.33||370955.411118|||40|score 40 < 50 (catalyst=routine)
2026-07-31|DXCM|1140.050391|20|10.03|74.54|0.22||4898772.9400525||||outside top-20 gap cap (gap 10.0%)
2026-07-31|FET|0.023691|1|16.04|51.43|0||157896.5033165||||filter:session_rvol_too_low: session_rvol=0.08x (today 184 / baseline 2,202 n=20) < 1.0x
2026-07-31|FLNC|0.023691|1|11.88|13.47|0.05||8764385.194118||||already scored earlier today
2026-07-31|MPWR|0.023691|1|13.59|1316.18|0.02||1053015.1048705||||pre-mkt volume 24,551 < 25,000 shares
2026-07-31|NBIS|4559.972378||10.29|188.43|0.06||18806035.4298385|||38|score 38 < 50 (catalyst=strong)
2026-07-31|NVT|0.023691|1|11.88|144.8|0.08||2189961.280847|||15|score 15 < 50 (catalyst=routine)
2026-07-31|NWL|0.023691|1|22.37|5.14|0.03||10572337.081128001||||already scored earlier today
2026-07-31|NXT|0.023691|1|10.94|96.9|0.01||2901067.5435435||||filter:session_rvol_too_low: session_rvol=0.39x (today 22,418 / baseline 58,266 n=22) < 1.0x
2026-07-31|PWP|0.023691|1|11.33|14.91|0||1174266.0363059998||||filter:session_rvol_too_low: session_rvol=0.18x (today 2,598 / baseline 14,069 n=22) < 1.0x
2026-07-31|SPSC|1440.216269|25|10.83|65.83|0.14||654186.491996|||45|score 45 < 50 (catalyst=routine)
2026-07-31|SPXC|1140.050391|20|12.86|199.3|0.03||689134.2300135|||20|score 20 < 50 (catalyst=routine)
2026-08-03|CNH|540.060539|10|10.24|10.25|0.04||12177314.8968915||||routine catalyst, gap 10.2%
2026-08-03|FTH|359.937744||10.13|27.24|0||229893.9000895|||42|score 42 < 50 (catalyst=strong)
2026-08-03|FTK|2759.970314||10.45|23.54|0.06||321093.94287599996|||60|
2026-08-03|LIND|1140.074366|20|12.91|29.58|0.05||884029.80804|||20|score 20 < 50 (catalyst=strong)
2026-08-04|AAOI|0.028431|1|19.94|110.21|0.32||10125637.925278999|||28|score 28 < 50 (catalyst=routine)
2026-08-04|AEIS|0.028431|1|12.03|296.38|0.01||795046.1381415001||||filter:session_rvol_too_low: session_rvol=0.78x (today 6,951 / baseline 8,920 n=20) < 1.0x
