ticker	d	scan_n	reasons	max_score
MAKO	2026-08-07	0	""	""
MITK	2026-08-07	12	filter:pm_rvol_too_low: pm_rvol=0.14x (today 210 / baseline 1,455 n=20) < 1.0x ;; filter:pm_rvol_too_low: pm_rvol=0.15x (today 210 / baseline 1,419 n=20) < 1.0x ;; filter:pm_rvol_too_low: pm_rvol=0.31x (today 476 / baseline 1,526 n=20) < 1.0x ;; filter:pm_rvol_too_low: pm_rvol=0.41x (today 684 / baseline 1,681 n=20) < 1.0x ;; filter:pm_rvol_too_low: pm_rvol=0.44x (today 684 / baseline 1,543 n=20) < 1.0x ;; filter:pm_rvol_too_low: pm_rvol=0.67x (today 1,111 / baseline 1,658 n=21) < 1.0x ;; filter:session_rvol_too_low: session_rvol=0.11x (today 1,902 / baseline 17,067 n=22) < 1.0x ;; filter:session_rvol_too_low: session_rvol=0.11x (today 2,522 / baseline 22,817 n=22) < 1.0x ;; filter:session_rvol_too_low: session_rvol=0.14x (today 1,902 / baseline 13,138 n=22) < 1.0x ;; filter:session_rvol_too_low: session_rvol=0.15x (today 1,902 / baseline 12,334 n=22) < 1.0x ;; filter:session_rvol_too_low: session_rvol=0.35x (today 11,041 / baseline 31,086 n=22) < 1.0x	""
MTW	2026-08-07	16	already scored earlier today ;; <none> ;; pre-mkt volume 1,445 < 25,000 shares ;; pre-mkt volume 1,554 < 25,000 shares ;; pre-mkt volume 1,707 < 25,000 shares	50.4
NTRA	2026-08-07	32	filter:session_rvol_too_low: session_rvol=0.29x (today 12,390 / baseline 43,357 n=23) < 1.0x ;; filter:session_rvol_too_low: session_rvol=0.32x (today 18,575 / baseline 57,371 n=23) < 1.0x ;; filter:session_rvol_too_low: session_rvol=0.39x (today 12,390 / baseline 31,435 n=23) < 1.0x ;; filter:session_rvol_too_low: session_rvol=0.52x (today 10,536 / baseline 20,119 n=23) < 1.0x ;; filter:session_rvol_too_low: session_rvol=0.64x (today 10,536 / baseline 16,516 n=23) < 1.0x ;; pre-mkt volume 1,394 < 25,000 shares ;; pre-mkt volume 2,431 < 25,000 shares ;; pre-mkt volume 2,786 < 25,000 shares ;; pre-mkt volume 4,038 < 25,000 shares ;; score 18 < 50 (catalyst=routine) ;; score 6 < 50 (catalyst=routine)	18
PDFS	2026-08-07	0	""	""
RDW	2026-08-07	1	outside top-20 gap cap (gap 10.9%)	""
SEI	2026-08-07	2	outside top-20 gap cap (gap 11.2%)	""
SRZN	2026-08-07	0	""	""
TILE	2026-08-07	1	outside top-20 gap cap (gap 10.5%)	""
TSEM	2026-08-07	0	""	""
ULBI	2026-08-07	30	outside top-20 gap cap (gap 11.1%) ;; outside top-20 gap cap (gap 11.8%) ;; outside top-20 gap cap (gap 11.9%) ;; outside top-20 gap cap (gap 12.2%) ;; outside top-20 gap cap (gap 12.4%) ;; outside top-20 gap cap (gap 12.8%) ;; quality filter: filter:adv_too_low: $162,418	""
YELP	2026-08-07	1	filter:session_rvol_too_low: session_rvol=0.69x (today 29,523 / baseline 42,455 n=23) < 1.0x	""
ZD	2026-08-07	0	""	""
ACHR	2026-08-10	22	already scored earlier today ;; <none> ;; score 36 < 50 (catalyst=routine) ;; score 42 < 50 (catalyst=routine) ;; score 48 < 50 (catalyst=routine)	54
BWMN	2026-08-10	22	quality filter: filter:mcap_too_small: $477M < $500M	""
CLRO	2026-08-10	1	already up 176% in prior 5 days (extended)	""
FCUV	2026-08-10	2	quality filter: filter:adv_too_low: $57,040	""
HZO	2026-08-10	33	M&A/buyout catalyst — no momentum trade	""
LFST	2026-08-10	0	""	""
RNA	2026-08-10	12	quality filter: filter:mcap_too_small: $211M < $500M	""
SLN	2026-08-10	33	already scored earlier today ;; <none>	84
