ticker|d|t_ms|o|h|l|c|v
ARM|2026-05-21|1779382080000|288|288|287.21|287.38|21495
ARM|2026-05-21|1779382140000|287.375|287.64|287.17|287.525|16152
ARM|2026-05-21|1779382200000|287.51|287.5971|286.6001|286.85|22750
ARM|2026-05-21|1779382260000|286.6501|287.2893|286.6501|287.2893|16507
ARM|2026-05-21|1779382320000|287.09|287.32|286.9001|287.19|10783
ARM|2026-05-21|1779382380000|287.2|287.2|286.8125|286.99|10026
ARM|2026-05-21|1779382440000|287.17|287.32|286.76|286.8|12387
ARM|2026-05-21|1779382500000|286.875|287|286.67|286.9674|11286
ARM|2026-05-21|1779382560000|286.81|287.15|286.73|286.88|17380
ARM|2026-05-21|1779382620000|286.89|286.89|286.3226|286.4775|23369
ARM|2026-05-21|1779382680000|286.48|286.5899|286.05|286.445|16384
ARM|2026-05-21|1779382740000|286.4261|286.97|286.31|286.865|12548
ARM|2026-05-21|1779382800000|286.98|287.5|286.98|287.21|36269
